FID	IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
21_21_Leiden	21_21_Leiden	-0.1483504	0.1227083	0.04182845	-0.0398825	0.02228056	0.005495268	-0.0001275286	-0.02287466	-0.008483607	-0.002362423
21_385	21_385	-0.1641125	0.1366319	0.042915	-0.04136767	0.0224171	0.004129381	0.003402474	-0.02369824	-0.007215201	-0.006138049
22_22_Leiden	22_22_Leiden	-0.1521046	0.1252517	0.0424295	-0.03998878	0.02183349	0.001085521	-0.0004140967	-0.02068518	-0.008850596	-0.006916494
22_481	22_481	-0.1665169	0.1366931	0.04551187	-0.04719979	0.02719818	0.003891423	0.00013872	-0.02636783	-0.01046073	-0.003668263
23_23_Leiden	23_23_Leiden	-0.06279118	-0.07454768	0.03139874	-0.03802447	0.006690191	0.03232101	-0.003269411	-0.005161641	-0.0008589426	-0.002981908
23_289	23_289	-0.1640254	0.1343658	0.04429153	-0.04207211	0.01410242	0.00154728	-0.003466011	-0.01928079	-0.007277676	-0.005305602
24_1	24_1	-0.1427141	0.09236491	0.03846897	-0.04393537	0.01771992	0.01111345	0.0001726287	-0.01972311	-0.004868013	-0.007111969
25_25_Leiden	25_25_Leiden	-0.1521909	0.1217139	0.04469848	-0.03504961	0.02677573	0.002714827	0.000937585	-0.02775885	-0.01282877	-0.006157557
25_97	25_97	-0.1647756	0.1416785	0.04305662	-0.04263352	0.02061589	0.001247653	0.001972575	-0.02565954	-0.0129688	-0.008972122
26_26_Leiden	26_26_Leiden	-0.1511865	0.1242482	0.04034458	-0.04050049	0.0204627	0.001943438	0.00254678	-0.02572174	-0.008898216	-0.009537838
26_193	26_193	-0.1614958	0.1360994	0.04432808	-0.04286539	0.02132321	0.004136708	0.0002481029	-0.0242349	-0.01011674	-0.007273638
27_27_Leiden	27_27_Leiden	-0.1509401	0.1262283	0.04564549	-0.03921769	0.02526176	0.000101221	0.003432908	-0.02421624	-0.01045695	-0.005953654
27_215284230	27_215284230	-0.1634209	0.1372957	0.04507737	-0.04131138	0.01548447	0.002943619	0.001190349	-0.02947426	-0.01101351	-0.008734128
28_28_Leiden	28_28_Leiden	-0.1520237	0.1260585	0.04643902	-0.04138664	0.01498807	0.002762822	8.919469e-05	-0.02684516	-0.007598862	-0.007960914
28_215285150	28_215285150	-0.1669269	0.1407246	0.04481319	-0.04327488	0.01707723	0.00129747	0.0008742643	-0.02669141	-0.008869201	-0.003343801
29_29_Leiden	29_29_Leiden	-0.1487494	0.1242547	0.04479619	-0.03929969	0.01950491	0.002395786	-0.0003693894	-0.02140659	-0.00752307	-0.01147827
